Rgt,Lu,Lu/Hg,Ld,Ld/Hg,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kege,logkedge,muV/Hg,Re,Bstep_modified
0.838684087,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,175,0.131157848,1.124210124,,1.207292375,0.091399197,1.79,23_V_1.5_q_175,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,363.76716,709.0909091,0.513004969,1030.882028,,,156.1892614,,4.8875
0.948133094,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,75,0.116017467,1.082829693,,1.180079667,0.072060539,1.845,ev6_V_0.7_q_75,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,281.1750038,709.0909091,0.396528852,512.2940552,,,91.61274945,,5.808333333
0.507471046,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,175,0.216761135,1.238635058,,1.076794022,0.021708677,1.16,ev16_V_1_q_175,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,201.4178061,709.0909091,0.284050752,831.7180789,,-1.936113218,117.5945758,,
0.564938525,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,250,0.194711451,1.168268707,,1.165664532,0.069415847,1.46,27_V_1.5_q_250,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,265.1830252,709.0909091,0.373976061,1129.466163,0.010462088,-1.980381628,156.1892614,0.009912866,4.864583333
0.564938525,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,250,0.194711451,1.168268707,,1.165664532,0.069415847,1.46,27_V_1.5_q_250,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,265.1830252,709.0909091,0.373976061,1129.466163,0.010462088,-1.980381628,156.1892614,0.009912866,5.1625
0.352611388,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,250,0.311958161,1.247832643,,1.043392009,0.028925189,0.68,ev19_V_1_q_250,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,150.5240563,709.0909091,0.212277515,882.6118287,0.0025,-2.602055038,117.5945758,0.009387678,
0.728501778,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,200,0.150994827,1.132461201,,1.197412875,0.081618825,1.805,24_V_1.5_q_200,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,325.0044147,709.0909091,0.458339559,1069.644773,,-1.962736334,156.1892614,,4.91875
1.187117829,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,75,0.0926614,1.235485333,,1.074605268,0.07852661,2.545,rev12_V_1_q_75,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,397.5245076,709.0909091,0.560611485,635.6113774,,,117.5945758,,2.10625
0.293467485,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,300,0.374828578,1.249428593,,1.035320086,0.034803025,0.35,ev21_V_1_q_300,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,129.9621353,709.0909091,0.183279934,903.1737498,,,117.5945758,,
0.35122393,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,200,0.313190505,1.096166766,,1.098236096,0.077618465,0.305,11_V_0.7_q_200,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,127.0423572,709.0909091,0.179162299,666.4267017,0.0025,-2.602059991,91.61274945,0.005921165,2.0625
