Rgt,Lu,Ld,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,kedge,logkedge,muV/Hg,Re,Bstep_modified
1.406997467,4,2,0.29,0.805555556,0.36,1,225,0.237840369,1.057068308,0.255864,1.075780368,0.08187276,2.285,ev14_V_1_q_225,5.016587678,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.184142754,-179.9955218,179.9955218,8.190078553,1.619111214,0.8,1.497995567,95.74808556,158.3333333,0.604724751,84.24743629,2.558430275,0.407973586,21.9772644,0.011678146,4.576190476
1.292111173,4,2,0.29,0.805555556,0.36,0.7,175,0.267262481,1.069049924,0.278613797,1.04247254,0.074239578,1.92,v6_V_0.7_q_175,5.099526066,32.4,0.065,5.56,2.11,low_surf,0.7,1.5,0.528357353,0.108143318,1.3,0.057,0.1,-157.5696853,157.5696853,9.203020862,1.619111214,0.8,1.167022303,73.84491201,158.3333333,0.466388918,83.72477327,1.789654648,0.252769233,17.12151778,0.007998247,4.919047619
1.143444706,4,2,0.29,0.805555556,0.36,1,275,0.29348339,1.067212327,0.314838136,1.072763047,0.084699391,1.875,ev16_V_1_q_275,5.139810427,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,80.92668181,158.3333333,0.511115885,122.0532299,1.384635212,0.141335372,21.9772644,0.014369844,4.654761905
1.355874327,4,2,0.29,0.805555556,0.36,1.5,325,0.228652467,1.055319077,0.265511333,1.161200389,0.117257675,2.43,26_V_1.5_q_325,5.627962085,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.331041807,-199.9544885,199.9544885,6.850048439,1.619111214,0.8,1.989639569,119.3970957,158.3333333,0.75408692,80.55739274,0.051575224,-1.287558875,29.19022986,0.020528935,2.897619048
1.385350686,4,2,0.29,0.805555556,0.36,2,425,0.2259648,1.063363765,0.259862,1.150010975,0.121813908,2.585,ev35_V_2_q_425,5.559241706,92.6,0.185,5.56,2.11,low_surf,0.7,1.5,0.385574197,0.225481987,1.3,0.057,0.384234842,-231.1775622,231.1775622,6.475168126,1.619111214,0.8,2.433500978,137.8499416,158.3333333,0.87063121,93.32762056,0.03348488,-1.475151248,35.70217139,0.029204279,2.847619048
1.488886086,4,2,0.29,0.805555556,0.36,2,375,0.1989893,1.061276267,0.2417915,1.215097998,0.127557244,2.93,ev33_V_2_q_375,4.260663507,92.6,0.185,5.56,2.11,low_surf,0.7,1.5,0.385574197,0.225481987,1.3,0.057,1.711488076,-94.14076641,94.14076641,2.636835877,1.619111214,0.8,2.433500978,152.6073463,158.3333333,0.963835871,-58.46657988,0.035516922,-1.449564673,35.70217139,0.027173448,2.633333333
1.427033025,4,2,0.29,0.805555556,0.36,2,400,0.214202033,1.071010167,0.252271667,1.177727694,0.124899145,2.745,ev34_V_2_q_400,5.317535545,92.6,0.185,5.56,2.11,low_surf,0.7,1.5,0.385574197,0.225481987,1.3,0.057,0.7102069,-170.6344676,170.6344676,4.779386266,1.619111214,0.8,2.433500978,143.8733477,158.3333333,0.908673775,26.76111989,0.047986805,-1.318878161,35.70217139,0.028351248,2.776190476
1.557878908,4,2,0.29,0.805555556,0.36,2,350,0.1882972,1.075984,0.231083429,1.22722711,0.142111094,3.085,ev32_V_2_q_350,4.163507109,92.6,0.185,5.56,2.11,low_surf,0.7,1.5,0.385574197,0.225481987,1.3,0.057,4.586598455,-41.04501866,41.04501866,1.149650485,1.619111214,0.8,2.433500978,159.5012644,158.3333333,1.007376407,-118.4562458,0.054775295,-1.261415276,35.70217139,0.025970034,2.626190476
0.773263138,4,2,0.29,0.805555556,0.36,0.7,300,0.44866825,1.046892583,0.4655595,1.037647527,0.085379305,0.3,11_V_0.7_q_300,6.613744076,32.4,0.065,5.56,2.11,low_surf,0.7,1.5,0.528357353,0.108143318,1.3,0.057,0.1,-157.5696853,157.5696853,9.203020862,1.619111214,0.8,1.167022303,48.78998714,158.3333333,0.308147287,108.7796981,0.003030921,-2.518425346,17.12151778,0.013364951,2.826190476
0.944003684,4,2,0.29,0.805555556,0.36,1,350,0.37997513,1.085643228,0.381354444,1.003630013,0.065512953,1.19,ev19_V_1_q_350,5.575829384,46.3,0.093,5.56,2.11,low_surf,0.7,1.5,0.474697519,0.138800444,1.3,0.057,0.1,-202.9799117,202.9799117,9.235904343,1.619111214,0.8,1.497995567,65.81947553,158.3333333,0.415701951,137.1604361,0.940045519,-0.026851116,21.9772644,0.017405782,4.933333333
1.312069775,4,2,0.29,0.805555556,0.36,1.5,350,0.245190478,1.050816335,0.274375652,1.119030617,0.119897544,2.245,27_V_1.5_q_350,5.606635071,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,0.0934688,-273.3808587,273.3808587,9.36549181,1.619111214,0.8,1.989639569,112.909789,158.3333333,0.713114457,160.4710697,0.046395138,-1.333527533,29.19022986,0.021214311,3.073809524
1.535757103,4,2,0.29,0.805555556,0.36,1.5,275,0.196016586,1.069181379,0.234412069,1.195878744,0.117375201,2.88,24_V_1.5_q_275,5.424170616,69.4,0.139,5.56,2.11,low_surf,0.7,1.5,0.420420048,0.184394758,1.3,0.057,2.126646672,-64.68359378,64.68359378,2.215933005,1.619111214,0.8,1.989639569,135.051751,158.3333333,0.852958427,-70.36815723,0.036879583,-1.433213996,29.19022986,0.018124387,2.976190476
