Rgt,Lu,Lu/Hg,Ld,Ld/Hg,Shim_thickness,HF/Hg,H,V,Flow rate per unit width,mean_height,Avg./Pre.,max height,Yield,Bstep,Bedge,Hedge,Rstep,start_x,file name,Bstep_modified,SR_x,SR_multiple_Ld_x,SS_x,capillary_length,viscosity_label,PowerLawIndex,ZeroShearViscosity,Viscosity_x,Ca,rho,sigma,c_star,delP_channel,P_drop_channel,P_drop_channel_dimensionless,K_Weinstein,(2n+1)/3,mu0(U^n)/sigma,P_jump,sigma/Hg,P_jump_dimensionless,P_drop_total,tau,k,logk,epsilon,Rgt_inv,Rgt_y,SR_y,SR_multiple_Ld_y,SS_y,Viscosity_y,muV/Hg,Ca_y,Re,B1_step_JS,B2_step_JS
0.624596337,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.5,75,0.176113745,1.174091631,,0.179576241,69.30180278,27.34028516,1.019660569,0.023831359,1.475,ev2_V_0.5_q_75,5.085416676,75.75757576,0.060606061,7.272727273,2.38,standard,0.7,3.5,0.955520972,0.102085574,1.4,0.078,0.5,-618.5791107,618.5791107,8.545332338,1.619111214,0.8,1.572340386,172.0947921,709.0909091,0.242697784,446.4843186,,,,,,,,,,,72.38795242,,,5.583333333,4.9875
0.451206343,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,200,0.243790899,1.218954495,,0.259126364,57.48778998,15.81273139,1.062904172,0.023995167,0.995,ev17_V_1_q_200,5.839583334,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,183.3449715,709.0909091,0.258563421,849.7909136,10.29612423,0.009433057,-1.936113218,0.651243364,1.909090909,0.523809524,152,0.121,7.27,0.775380666,117.5945758,0.16567963,0.007336338,,
0.838684087,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,175,0.131157848,1.124210124,,0.15834587,101.5188967,90.57788151,1.207292375,0.091399197,1.79,23_V_1.5_q_175,5.547916676,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,363.76716,709.0909091,0.513004969,1030.882028,,,,,,,,,,,156.1892614,,,4.8875,4.8875
0.948133094,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,0.7,75,0.116017467,1.082829693,,0.136909854,109.5955662,95.71834546,1.180079667,0.072060539,1.845,ev6_V_0.7_q_75,5.29791666,106.0606061,0.084848485,7.272727273,2.38,standard,0.7,3.5,0.863777352,0.129197467,1.4,0.078,0.5,-793.4690589,793.4690589,8.661120462,1.619111214,0.8,1.989922646,281.1750038,709.0909091,0.396528852,512.2940552,,,,,,,,,,,91.61274945,,,5.808333333,5.808333333
0.507471046,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,175,0.216761135,1.238635058,,0.233407095,63.89521808,17.83068721,1.076794022,0.021708677,1.16,ev16_V_1_q_175,5.77083333,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,201.4178061,709.0909091,0.284050752,831.7180789,,,-1.936113218,,,,,,,,117.5945758,,,,
0.564938525,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,250,0.194711451,1.168268707,,0.226968233,69.8469449,55.44101251,1.165664532,0.069415847,1.46,27_V_1.5_q_250,5.666666662,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,265.1830252,709.0909091,0.373976061,1129.466163,9.776666795,0.010462088,-1.980381628,0.487088575,1.590909091,0.628571429,227,0.182,7.27,0.687480347,156.1892614,0.220346265,0.009912866,4.864583333,4.864583333
0.564938525,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,250,0.194711451,1.168268707,,0.226968233,69.8469449,55.44101251,1.165664532,0.069415847,1.46,27_V_1.5_q_250,5.666666662,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,265.1830252,709.0909091,0.373976061,1129.466163,9.776666795,0.010462088,-1.980381628,0.487088575,1.590909091,0.628571429,227,0.182,7.27,0.687480347,156.1892614,0.220346265,0.009912866,5.1625,5.1625
0.352611388,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,250,0.311958161,1.247832643,,0.325494652,45.77536924,11.20342545,1.043392009,0.028925189,0.68,ev19_V_1_q_250,5.950000003,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,150.5240563,709.0909091,0.212277515,882.6118287,20,0.0025,-2.602055038,0.72904346,2.386363636,0.419047619,152,0.121,7.27,0.775380666,117.5945758,0.16567963,0.009387678,,
0.728501778,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1.5,200,0.150994827,1.132461201,,0.18080315,87.78446443,75.53238905,1.197412875,0.081618825,1.805,24_V_1.5_q_200,5.522916675,227.2727273,0.181818182,7.272727273,2.38,standard,0.7,3.5,0.68723275,0.220266907,1.4,0.078,0.5,-1394.649188,1394.649188,8.929225837,1.619111214,0.8,3.392590548,325.0044147,709.0909091,0.458339559,1069.644773,,,-1.962736334,,,,,,,,156.1892614,,,4.91875,4.91875
1.187117829,4,36.36363636,0.8,7.272727273,0.29,2.636363636,0.11,1,75,0.0926614,1.235485333,,0.099574429,120.3845398,107.6500031,1.074605268,0.07852661,2.545,rev12_V_1_q_75,4.647916665,151.5151515,0.121212121,7.272727273,2.38,standard,0.7,3.5,0.7761242,0.165838504,1.4,0.078,0.5,-1033.135885,1033.135885,8.78557432,1.619111214,0.8,2.554274492,397.5245076,709.0909091,0.560611485,635.6113774,,,,,,,,,,,117.5945758,,,2.10625,2.10625
